# class NDVI NDCI IRECI MTCI OTCI MCARI CI_RedEdge CI_GreenEdge TCARI OSAVI TCARI_OSAVI
1.000000 0.128154 0.363009 0.011922 -0.553176 -1.106353 0.033391 -0.285495 0.093744 0.100174 0.079678 1.317829
1.000000 0.160252 0.397799 0.012968 -0.516337 -1.032673 0.036073 -0.297216 0.108030 0.108220 0.089665 1.217995
1.000000 0.114895 0.318436 0.013232 -0.554431 -1.108862 0.033644 -0.253527 0.078815 0.100933 0.077513 1.421691
4.000000 0.737404 0.346919 0.764832 3.074153 6.148305 0.051429 2.213646 4.032067 0.154287 0.605728 0.254925
3.000000 0.568041 0.258849 0.356636 2.054178 4.108356 0.044826 1.130567 2.337545 0.134478 0.437956 0.308955
5.000000 0.766750 0.368782 0.806740 3.179670 6.359339 0.049874 2.453295 4.521842 0.149622 0.624741 0.239711
4.000000 0.737918 0.343219 0.766924 2.992389 5.984778 0.052529 2.198599 4.094388 0.157588 0.609711 0.258216
4.000000 0.700117 0.366019 0.583429 2.319655 4.639311 0.061394 1.564982 3.338210 0.184181 0.562446 0.327396
4.000000 0.749545 0.367215 0.815029 2.967937 5.935874 0.056198 2.235462 4.140376 0.168594 0.622384 0.271516
3.000000 0.596575 0.256807 0.453435 2.348152 4.696305 0.045074 1.363073 2.744530 0.135223 0.476085 0.283200
4.000000 0.723502 0.331267 0.723645 2.926723 5.853447 0.052922 2.057091 3.881082 0.158766 0.597806 0.265074
4.000000 0.683140 0.317172 0.601821 2.674621 5.349242 0.052258 1.718371 3.390864 0.156775 0.553669 0.282972
4.000000 0.657838 0.297000 0.539448 2.660016 5.320031 0.048034 1.619382 3.179540 0.144103 0.525905 0.274316
4.000000 0.723576 0.347442 0.710563 2.917656 5.835313 0.052936 2.012838 3.813037 0.158807 0.589297 0.268506
3.000000 0.654908 0.295860 0.551882 2.672435 5.344871 0.048395 1.626412 3.174438 0.145186 0.526216 0.275703
3.000000 0.700065 0.322248 0.653016 2.907018 5.814037 0.050216 1.897052 3.639306 0.150647 0.568630 0.263967
3.000000 0.710592 0.333314 0.644945 2.735703 5.471407 0.051374 1.922547 3.686833 0.154123 0.575200 0.268041
4.000000 0.711313 0.343643 0.648562 2.791519 5.583038 0.052500 1.873438 3.657295 0.157500 0.573380 0.273900
0.000000 0.073673 0.053948 0.062137 0.115637 0.231275 0.016855 0.042843 0.599837 0.050566 0.072630 0.692668
0.000000 0.073994 0.053631 0.060937 0.117996 0.235991 0.015900 0.042683 0.614697 0.047700 0.072085 0.656357
0.000000 0.075113 0.055384 0.064912 0.112404 0.224807 0.016800 0.042734 0.655070 0.050401 0.074285 0.671596
0.000000 0.078915 0.055519 0.067305 0.123485 0.246969 0.016309 0.045769 0.689338 0.048926 0.075994 0.642384
0.000000 0.078857 0.055240 0.065665 0.143850 0.287699 0.016592 0.047702 0.653693 0.049775 0.076197 0.646454
0.000000 0.078970 0.055312 0.066242 0.145089 0.290178 0.016754 0.049180 0.651264 0.050262 0.076933 0.651513
0.000000 0.075516 0.053886 0.065044 0.115033 0.230066 0.015780 0.042605 0.658997 0.047339 0.073028 0.646842
0.000000 0.079960 0.054587 0.064100 0.116395 0.232789 0.017070 0.045270 0.617253 0.051211 0.074466 0.686996
0.000000 0.076531 0.051797 0.057748 0.117306 0.234611 0.015082 0.043311 0.577076 0.045246 0.070224 0.643209
0.000000 0.079249 0.053334 0.061966 0.146712 0.293423 0.015961 0.045698 0.607790 0.047884 0.073178 0.653714
0.000000 0.082272 0.054016 0.065844 0.158414 0.316828 0.016490 0.048635 0.630073 0.049469 0.075584 0.654033
0.000000 0.083145 0.054412 0.067791 0.135304 0.270608 0.017247 0.049627 0.628502 0.051740 0.076666 0.672164
0.000000 0.083285 0.054401 0.064490 0.120106 0.240212 0.016677 0.047552 0.624792 0.050032 0.075270 0.664611
0.000000 0.084496 0.055700 0.067298 0.128201 0.256403 0.017205 0.049586 0.653390 0.051614 0.077621 0.664192
0.000000 0.080903 0.056583 0.067280 0.126990 0.253980 0.017890 0.046156 0.656513 0.053669 0.077009 0.696631
0.000000 0.078746 0.054707 0.060998 0.112097 0.224194 0.016193 0.043583 0.625195 0.048579 0.073314 0.660581
0.000000 0.075450 0.052822 0.058515 0.101806 0.203613 0.015184 0.041365 0.604987 0.045551 0.070475 0.645058
0.000000 0.075080 0.053735 0.059155 0.105428 0.210857 0.015677 0.040258 0.614711 0.047032 0.070898 0.662273
0.000000 0.077920 0.054656 0.061176 0.115337 0.230675 0.015776 0.043344 0.640811 0.047327 0.073214 0.645161
0.000000 0.078733 0.054483 0.060768 0.122186 0.244371 0.015887 0.044167 0.627185 0.047660 0.073292 0.649021
0.000000 0.072699 0.052787 0.057866 0.118334 0.236669 0.015217 0.039950 0.598761 0.045650 0.069750 0.641598
